ORIG_350r
  hardpoint_cockpit_flair                         S1   Flair_Cockpit.Flair_Static                                                                                         UNKNOWN                                 
   hardpoint_fuel_tank_center                     S1   FuelTank                                          HTNK_ORIG_350r                                                   Fuel tanks                              
   hardpoint_power_plant                          S1   PowerPlant                                        POWR_ACOM_S01_LumaCore_SCItem                                    Power plants                            
   hardpoint_main_thruster                        S4   MainThruster                                      ORIG_350r_Thruster_Main                                          Main thrusters                          
   hardpoint_countermeasure_left                  S3   WeaponDefensive.CountermeasureLauncher            ORIG_CML_Decoy_Small                                             Countermeasures                         
   hardpoint_countermeasure_right                 S3   WeaponDefensive.CountermeasureLauncher            ORIG_CML_Noise_Small                                             Countermeasures                         
   hardpoint_mav_thruster_tail_top_left           S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_mav_thruster_tail_bottom_left        S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_mav_thruster_tail_top_right          S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_mav_thruster_tail_bottom_right       S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_quantum_fuel_tank                    S1   QuantumFuelTank.QuantumFuel                       QTNK_ORIG_350r                                                   Quantum fuel tanks                      
   hardpoint_quantum_drive                        S1   QuantumDrive.QDrive                               QDRV_RSI_S01_Eos_SCItem                                          Quantum drives                          
   hardpoint_mav_thruster_tail_middle_left        S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_mav_thruster_tail_middle_right       S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
   hardpoint_fuel_intake_left                     S1   FuelIntake                                        INTK_ORIG_350r                                                   Fuel intakes                            
   hardpoint_fuel_intake_right                    S1   FuelIntake                                        INTK_ORIG_350r                                                   Fuel intakes                            
   hardpoint_300i_Intake                          S1   FuelIntake                                        ORIG_350r_Intake                                                 Fuel intakes                            
   hardpoint_350r_tail_winglet_left               S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
   hardpoint_350r_tail_winglet_right              S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
   hardpoint_thruster_retro_left                  S1   ManneuverThruster                                 ORIG_300i_Thruster_Retro                                         Retro thrusters                         
   hardpoint_weapon_missilerack_left              S2   MissileLauncher.MissileRack                       MRCK_S02_BEHR_Single_S02                                         Missile racks                           
    missile_01_attach                             S2   Missile.Missile                                   MISL_S02_CS_THCN_StrikeForce                                     Missiles                                
   hardpoint_weapon_wing_left                     S3   Turret.GunTurret, WeaponGun.Gun                   BEHR_LaserCannon_S3                                              Weapon hardpoints                       
    magazine_attach                               S0                                                                                                                      UNKNOWN                                 
   hardpoint_350r_wing_winglet_left               S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
   hardpoint_thruster_retro_right                 S1   ManneuverThruster                                 ORIG_300i_Thruster_Retro                                         Retro thrusters                         
   hardpoint_weapon_missilerack_right             S2   MissileLauncher.MissileRack                       MRCK_S02_BEHR_Single_S02                                         Missile racks                           
    missile_01_attach                             S2   Missile.Missile                                   MISL_S02_CS_THCN_StrikeForce                                     Missiles                                
   hardpoint_weapon_wing_right                    S3   Turret.GunTurret, WeaponGun.Gun                   BEHR_LaserCannon_S3                                              Weapon hardpoints                       
    magazine_attach                               S0                                                                                                                      UNKNOWN                                 
   hardpoint_350r_wing_winglet_right              S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
 hardpoint_controller_missile                     S1   MissileController                                 Controller_Missile                                               UNKNOWN                                 
 landingpad_helper                                S1   LandingSystem                                     Default_LandingSystem                                            UNKNOWN                                 

